theta,rho_spec,N,mean_gap_ext,max_gap_ext,mean_gap_int,max_gap_int,vol_ext_final,vol_int_final,runtime_ext,runtime_int,mc_gap_ext
0.0,0.95,10,-7.0082828429463e-17,4.440892098500626e-16,3.0531133177191805e-16,1.3322676295501878e-15,17.99377735606045,17.99377735606044,0.017886625020764768,0.03853366698604077,1.0634936733626161
0.19634954084936207,0.95,10,5.828670879282072e-17,8.881784197001252e-16,1.6653345369377347e-17,4.440892098500626e-16,17.99377735606044,17.993777356060438,0.01770116703119129,0.03823441703571007,1.1870104321222774
0.39269908169872414,0.95,10,1.8735013540549518e-17,4.440892098500626e-16,4.5102810375396984e-17,4.440892098500626e-16,17.993777356060455,17.99377735606045,0.01796204101992771,0.03895491699222475,1.2587808845673836
0.5890486225480862,0.95,10,3.608224830031759e-17,4.440892098500626e-16,-2.0122792321330962e-17,4.440892098500626e-16,17.993777356060438,17.99377735606043,0.018141250009648502,0.03852066700346768,1.169581986746139
0.7853981633974483,0.95,10,8.673617379884035e-17,8.881784197001252e-16,8.743006318923108e-17,8.881784197001252e-16,17.99377735606044,17.99377735606044,0.018122209003195167,0.038269582961220294,1.1282526497324112
0.9817477042468103,0.95,10,2.2898349882893852e-17,4.440892098500626e-16,7.216449660063518e-17,8.881784197001252e-16,17.99377735606045,17.99377735606045,0.018417791987303644,0.03855391702381894,0.9816609720705463
1.1780972450961724,0.95,10,7.216449660063518e-17,4.440892098500626e-16,-1.0408340855860843e-17,4.440892098500626e-16,17.993777356060455,17.993777356060455,0.017900583043228835,0.03874795895535499,1.2240909804453357
1.3744467859455345,0.95,10,1.8665624601510443e-16,8.881784197001252e-16,-6.106226635438361e-17,4.440892098500626e-16,17.99377735606044,17.99377735606044,0.01780733303166926,0.03843612503260374,1.0881908635553144
1.5707963267948966,0.95,10,-7.0082828429463e-17,4.440892098500626e-16,3.0531133177191805e-16,1.3322676295501878e-15,17.99377735606045,17.99377735606044,0.017861834028735757,0.03852670796914026,1.1348982387014044
1.7671458676442586,0.95,10,9.228728892196614e-17,8.881784197001252e-16,-2.706168622523819e-17,4.440892098500626e-16,17.993777356060438,17.993777356060438,0.01774183299858123,0.03858879196923226,1.0656487652431206
1.9634954084936207,0.95,10,1.3739009929736313e-16,8.881784197001252e-16,1.4294121442048891e-16,8.881784197001252e-16,17.99377735606044,17.99377735606044,0.017674083006568253,0.038414624985307455,1.0068153063615657
2.1598449493429825,0.95,10,2.0816681711721684e-18,4.440892098500626e-16,3.469446951953614e-18,4.440892098500626e-16,17.99377735606043,17.99377735606043,0.01755775004858151,0.03814037499250844,1.026575210223126
2.356194490192345,0.95,10,6.730727086790011e-17,4.440892098500626e-16,9.575673587391976e-17,8.881784197001252e-16,17.99377735606044,17.99377735606044,0.017437250004149973,0.03793887497158721,1.032840638070199
2.552544031041707,0.95,10,2.1996293675385913e-16,8.881784197001252e-16,-3.559652572704408e-16,2.220446049250313e-16,17.993777356060455,17.993777356060463,0.01768158405320719,0.03805862501030788,1.0373849991569812
2.748893571891069,0.95,10,-2.0122792321330962e-16,2.220446049250313e-16,1.9359513991901166e-16,1.3322676295501878e-15,17.993777356060455,17.993777356060455,0.017762708012014627,0.038312415999826044,1.2093067203592374
2.945243112740431,0.95,10,1.5334955527634976e-16,8.881784197001252e-16,9.714451465470119e-18,8.881784197001252e-16,17.993777356060455,17.993777356060455,0.01813291700091213,0.038951124995946884,0.8429967389244137
3.141592653589793,0.95,10,-7.0082828429463e-17,4.440892098500626e-16,3.0531133177191805e-16,1.3322676295501878e-15,17.99377735606045,17.99377735606044,0.01818475004984066,0.03918383299605921,1.1722722062908935
